api_key,type,name,pin,unit,value,created_at
1,1,Van cấp nước,V3,,0,2024-05-29 05:41:07
13,1,1,Công tắc Đèn,V2,,1,2024-05-29 05:39:18
12,1,1,Van xả pH,V1,,0,2024-05-29 05:39:01
11,1,1,Máy bơm,V0,,0,2024-05-29 05:38:46
10,1,2,sensor_temp_water,V9,°C,0,2024-05-28 15:44:49
9,1,2,Sensor_Water,V6,°C,0,2024-05-28 07:07:36
8,1,2,sensor_temp,V8,°C,0,2024-05-28 06:14:52
7,1,2,sensor_hum,V7,%,0,2024-05-28 06:14:08
6,1,2,sensor_ph,V5,pH,0,2024-05-28 06:13:22
5,1,2,sensor_light,V4,Lux,0,2024-05-28 06:10:51
